strategy,name,n_years,total_return_pct,CAGR_pct,vol_ann_pct,sharpe,max_drawdown_pct,final_equity
RF_ofz,Только ОФЗ 5Y (кэш),8.46,126.69,10.15,0.22,45.045,0.0,3.236
S4_long_thr3_rate_filter,S4 long dev<-3% + rate stable,8.46,103.27,8.74,9.25,0.955,-17.28,2.902
S1_long_thr10,S1 long если dev<-10%,8.46,100.15,8.54,10.19,0.858,-24.22,2.857
S1_long_thr7,S1 long если dev<-7%,8.46,73.17,6.7,10.62,0.666,-25.07,2.472
S1_long_thr3,S1 long если dev<-3%,8.46,64.83,6.08,10.89,0.598,-26.1,2.353
S1_long_thr2,S1 long если dev<-2%,8.46,63.73,6.0,10.97,0.588,-26.51,2.337
S1_long_thr5,S1 long если dev<-5%,8.46,61.24,5.81,10.84,0.577,-26.1,2.302
BH_buy_hold,Buy & Hold IMOEX,8.46,-8.42,-1.03,25.53,0.098,-55.29,1.649
S2_ls_thr10,S2 long/short |dev|>10%,8.46,-13.6,-1.71,23.8,0.043,-45.79,1.234
S2_ls_thr7,S2 long/short |dev|>7%,8.46,-24.27,-3.23,24.27,-0.017,-43.62,1.081
S3_prop_sc15,"S3 пропорц., scale=15%",8.46,-23.47,-3.11,23.79,-0.017,-45.66,1.093
S3_prop_sc10,"S3 пропорц., scale=10%",8.46,-32.74,-4.58,24.43,-0.073,-46.85,0.96
S2_ls_thr5,S2 long/short |dev|>5%,8.46,-37.28,-5.36,24.75,-0.103,-49.14,0.895
S2_ls_thr3,S2 long/short |dev|>3%,8.46,-40.23,-5.9,25.04,-0.121,-49.53,0.853
S3_prop_sc5,"S3 пропорц., scale=5%",8.46,-41.39,-6.12,24.98,-0.131,-50.52,0.837
