date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2023-07-13,polymarket,0.125,2885.63,3155.50277256535,3213.821609379151,-0.10211880100045478
2023-07-14,polymarket,0.105,2902.72,3148.637449600147,3211.1322724449506,-0.09604471142203252
2023-07-17,polymarket,0.105,2917.61,3131.181047557912,3199.6607034471526,-0.08815019140725933
2023-07-18,polymarket,0.095,2954.52,3126.128092030185,3197.2191895560977,-0.07590946230677231
2023-07-19,polymarket,0.095,2943.43,3119.0292669417445,3192.819117351559,-0.0781093786354008
2023-07-20,polymarket,0.09,2917.48,3124.109127988056,3196.7119024263407,-0.08734972401310248
2023-07-21,polymarket,0.09,2923.54,3115.9009007147542,3191.3265471561394,-0.08391073216708889
2023-07-24,polymarket,0.09,2937.47,3120.888183191934,3194.78030311334,-0.08054084434619468
2023-07-25,polymarket,0.09,2975.36,3126.0329112872923,3198.061458384896,-0.06963639107091013
2023-07-26,polymarket,0.085,2970.42,3126.889325900533,3198.843938178169,-0.07140827830077345
2023-07-27,polymarket,0.07,2987.85,3132.8388426364427,3203.68238592751,-0.06737009476206979
2023-07-28,polymarket,0.095,3008.61,3127.925949823038,3198.0251776263444,-0.05922879499245626
2023-07-31,polymarket,0.065,3073.5,3124.374482578218,3197.6055146167378,-0.03881201544387913
2023-08-01,polymarket,0.075,3093.64,3126.189466656259,3197.3797618101603,-0.032445242523030604
2023-08-02,polymarket,0.075,3106.46,3128.893391823965,3197.8617328337978,-0.02858214033938289
2023-08-03,polymarket,0.075,3147.8,3131.712720103887,3197.907645724013,-0.015668884556754747
2023-08-04,polymarket,0.075,3092.44,3134.080921798415,3197.750636094759,-0.03293272305415573
2023-08-07,polymarket,0.09,3084.08,3143.228969232255,3201.1303354180163,-0.03656531385896589
2023-08-08,polymarket,0.08,3085.31,3144.1359726809587,3200.871042760112,-0.036102998595177294
2023-08-09,polymarket,0.07,3099.52,3135.46295079677,3194.1454290394936,-0.02962464644822016
2023-08-10,polymarket,0.075,3148.86,3136.80500626387,3192.645683491452,-0.013714545186726879
2023-08-11,polymarket,0.075,3155.51,3145.100860650748,3196.101414836367,-0.012700289999541536
2023-08-14,polymarket,0.08,3131.0,3130.017933482468,3184.1255381897054,-0.016684498633150358
2023-08-15,polymarket,0.075,3115.25,3127.4395510018235,3181.192293952343,-0.02072879846895881
2023-08-16,polymarket,0.075,3049.46,3138.56686100587,3187.119489130595,-0.043192446847402866
2023-08-17,polymarket,0.075,3059.02,3162.045521188744,3200.9585265348023,-0.04434250720781996
2023-08-18,polymarket,0.105,3111.22,3167.5538707690484,3201.0088910932313,-0.02805018484736732
2023-08-21,polymarket,0.12,3139.93,3172.526757358914,3201.77075226224,-0.019314547182538333
2023-08-22,polymarket,0.1,3164.25,3179.0149726998093,3206.236790218504,-0.013095349147822288
2023-08-23,polymarket,0.085,3146.2,3183.7303253021378,3209.2756747865296,-0.019654177820272567
2023-08-24,polymarket,0.095,3137.37,3178.074440878744,3203.537423259558,-0.02065448737359643
2023-08-25,polymarket,0.09,3157.33,3184.8125997987686,3206.912783220986,-0.01546121973768988
2023-08-28,polymarket,0.08,3198.72,3182.0555267756863,3204.786402304721,-0.001892919384692382
2023-08-29,polymarket,0.09,3211.36,3192.784552580036,3209.452428584299,0.000594360395783422
2023-08-30,polymarket,0.08,3212.68,3198.0465371911405,3212.081548302731,0.00018631273467684117
2023-08-31,polymarket,0.08,3227.99,3205.752038785392,3215.4722289901256,0.0038929806008014545
2023-09-01,polymarket,0.08,3231.35,3200.957762162606,3210.6743633360834,0.006439655450586779
2023-09-04,polymarket,0.09,3268.97,3209.760044903386,3213.7414176668367,0.017185135689373077
2023-09-05,polymarket,0.095,3264.43,3211.8285751837543,3212.781588538653,0.016075917406149998
2023-09-06,polymarket,0.095,3245.47,3188.8589146731074,3196.11447145671,0.0154423532023229
2023-09-07,polymarket,0.12,3169.07,3181.102042707522,3187.31850006091,-0.005725345634758905
2023-09-08,polymarket,0.1,3142.88,3149.720903851112,3167.113469570977,-0.0076515949945612505
2023-09-11,polymarket,0.1,3122.37,3168.655023825721,3177.6217092164725,-0.017387755457554555
2023-09-12,polymarket,0.1,3165.92,3197.9552587618527,3194.8434763954056,-0.009053174782771678
2023-09-13,polymarket,0.1,3148.32,3208.4171284653958,3199.9083566340023,-0.0161218231537944
2023-09-14,polymarket,0.09,3139.49,3209.065141169313,3199.2842647618522,-0.018689888054165604
2023-09-15,polymarket,0.09,3152.53,3216.191426398102,3201.9096537092564,-0.01542193848350848
2023-09-18,polymarket,0.085,3135.18,3238.0843202000656,3214.5365991266845,-0.02468679284853814
2023-09-19,polymarket,0.085,3083.85,3238.287345897734,3212.6685046254097,-0.04009704220648491
2023-09-20,polymarket,0.07,3068.15,3239.4362646714485,3212.9016798886432,-0.045053255378066925
2023-09-21,polymarket,0.07,3019.22,3253.2562261494704,3219.8836170970094,-0.06232014599270652
2023-09-22,polymarket,0.065,3049.07,3256.333027437528,3220.3939699629113,-0.05319969282046699
2023-09-25,polymarket,0.07,3045.39,3258.135515849021,3219.548907655166,-0.05409419538279614
2023-09-26,polymarket,0.1,3051.91,3267.958982547106,3221.6378419382127,-0.052683712529307924
2023-09-27,polymarket,0.09,3067.61,3273.1587239812293,3223.951211594852,-0.04849366548494127
